RTTFC,4344417,51.47585,-0.42971,0,0,1,0.00,0.00,SERVICE VEH ASD,SERV,LDR7,,,1648671967.2,X2,SERVICE VEH,adsb_icao_nt,-1,-1,-1,-1.000,-1.0,-1.0,-1.00,-1.00,-1,,C2,-1.0,-1,-1,-1.00,,0.3,-30.0,-1,-1,-1,-1,1,268023
RTTFC,3753205,50.82655,1.38769,36000,-288,0,319.74,402.30,AFR95UF,A319,F-GRHV,CDG,DUB,1648671967.5,X2,AF1016,adsb_icao,34775,252,432,0.764,-0.0,-0.4,316.41,317.41,0,,A0,1001.0,36000,-1,-1.00,,0.0,-12.9,289,34,-63,-38,1,259874
RTTFC,5023589,51.33247,-1.30077,18000,64,0,103.43,344.40,RYR17SH,B738,EI-EFJ,ORK,STN,1648671967.3,X2,FR906,adsb_icao,17500,244,314,0.512,-0.0,0.2,105.64,105.73,32,none,A3,1013.6,18016,18000,104.77,,0.0,-11.9,261,33,-25,-12,1,74129
RTTFC,4344424,51.47416,-0.46187,0,0,1,320.62,12.80,SERVICE VEH ASD,SERV,LDR4,,,1648671967.2,X2,SERVICE VEH,adsb_icao_nt,-1,-1,-1,-1.000,-1.0,-1.0,-1.00,-1.00,-1,,C2,-1.0,-1,-1,-1.00,,0.3,-8.4,-1,-1,-1,-1,1,268362
RTTFC,5023296,53.57087,-6.30688,6575,-640,0,257.35,260.30,EIN65T,A320,EI-DVH,FRA,DUB,1648671967.5,X2,EI657,adsb_icao,6550,225,242,0.384,0.0,0.9,265.25,263.20,-608,none,A3,1012.0,4000,-1,-1.00,,0.0,-6.4,27,31,-11,-2,1,73906
RTTFC,5023586,53.29826,-3.42224,31000,0,0,101.36,431.50,RYR1MK,B738,EI-EFG,DUB,STN,1648671967.1,X2,FR272,adsb_icao,29900,231,366,0.632,0.0,-0.2,103.18,102.26,0,none,A3,1013.6,31008,31008,101.95,,0.0,-6.9,276,66,-52,-35,1,74211
RTTFC,4225860,50.64185,-1.88228,3225,64,0,318.26,174.20,GMA693,BE20,G-GMAF,GCI,BOH,1648671967.1,X2,GMA693,adsb_icao,3075,178,-1,0.284,-1.0,-1.0,316.76,316.72,128,none,A1,-1.0,3008,3008,-1.00,,0.2,-6.9,-1,-1,-1,-1,1,149958
RTTFC,4344419,51.47588,-0.42994,0,0,1,0.00,0.00,SERVICE VEH ASD,SERV,LDR9,,,1648671966.1,X2,SERVICE VEH,adsb_icao_nt,-1,-1,-1,-1.000,-1.0,-1.0,-1.00,-1.00,-1,,C2,-1.0,-1,-1,-1.00,,1.4,-30.4,-1,-1,-1,-1,1,268025
RTTFC,5243092,52.01449,-0.41717,5200,-128,0,240.62,254.80,T7KPC,E35L,T7-KPC,LBG,LTN,1648671967.4,X2,T7KPC,adsb_icao,5000,221,-1,0.368,-1.0,-1.0,245.39,245.72,-1,none,A2,1006.4,4992,-1,-1.00,,0.0,-5.6,-1,-1,-1,-1,1,2508
RTTFC,4344427,51.46786,-0.43434,0,0,1,340.31,19.50,SERVICE VEH ASD,SERV,LDR3,,,1648671966.3,X2,SERVICE VEH,adsb_icao_nt,-1,-1,-1,-1.000,-1.0,-1.0,-1.00,-1.00,-1,,C2,-1.0,-1,-1,-1.00,,1.2,-32.0,-1,-1,-1,-1,1,268392
RTTFC,4198146,51.03145,-0.33456,4975,-896,0,273.59,255.50,EZY48XL,A319,G-EZBH,AMS,LGW,1648671967.5,X2,U28884,adsb_icao,4800,246,260,0.408,0.0,0.7,275.45,275.90,-992,none,A3,1004.0,3008,-1,274.92,vnav,0.0,-5.5,346,11,-6,3,1,122280
RTTFC,5023822,51.96757,0.85788,11200,-1024,0,260.77,280.60,RYR4BN,B738,EI-EMF,JTR,STN,1648671967.1,X2,FR2907,adsb_icao,10800,261,302,0.480,0.0,0.2,265.25,266.02,-992,none,A3,1013.6,8992,6000,265.08,,0.1,-10.6,315,34,-12,0,1,74455
RTTFC,11424972,54.45378,-3.29598,2250,0,0,314.47,229.80,STRIX67,C30J,12-5759,MHZ,,1648671966.4,X2,STRIX67,adsb_icao,2325,-1,-1,-1.000,-1.0,-1.0,-1.00,-1.00,1472,none,A3,1008.8,-1,1216,61.17,lnav|tcas,1.1,-17.1,-1,-1,-1,-1,1,69846
RTTFC,3416208,53.37684,-2.22804,3200,2304,0,49.30,122.70,IBS3693,A320,EC-ILR,MAN,MAD,1648671967.2,X2,IB3693,adsb_icao,3150,147,152,0.236,0.0,0.4,52.38,51.91,2368,none,A3,1010.4,4992,-1,-1.00,,0.0,-4.0,62,29,-1,-1,1,213498
RTTFC,4741001,51.82201,1.73718,31500,1056,0,261.03,436.30,KLM701,B789,PH-BHO,AMS,EZE,1648671967.1,X2,KL701,adsb_icao,30475,312,484,0.844,0.0,0.2,262.27,263.33,960,none,A5,1012.8,34016,-1,262.27,autopilot|vnav|lnav|tcas,0.1,-8.0,283,51,-57,-26,1,82962
RTTFC,5023831,53.44157,-4.72585,27000,0,0,78.07,382.30,RYR48HR,B738,EI-EMO,DUB,NCL,1648671967.2,X2,FR174,adsb_icao,26100,234,346,0.588,0.0,0.2,75.23,73.80,0,none,A3,1013.6,27008,27008,92.11,,0.0,-11.0,293,45,-45,-29,1,74384
RTTFC,4225490,53.83008,-2.57543,35000,-64,0,153.49,492.80,CFE772,E190,G-LCAG,GLA,LCY,1648671967.1,X2,CJ772,adsb_icao,33600,263,446,0.776,0.0,0.0,161.02,160.34,-64,none,A3,1013.6,35008,35008,-1.00,autopilot|althold|tcas,0.0,-10.6,286,73,-56,-29,1,149741
RTTFC,4225491,53.52644,-6.60577,6025,-1728,0,250.85,277.40,CFE221,E190,G-LCAH,LCY,DUB,1648671967.3,X2,CJ221,adsb_icao,5975,242,258,0.408,-1.6,-23.4,259.98,257.82,-1696,none,A3,1012.0,3008,4096,-1.00,autopilot|tcas,0.0,-4.8,23,30,-10,-1,1,149624
